shape_group_id,candidate_id,candidate_kind,status
m7_n7_k7_f32,tiled_vector_materialized_tail,tiled_vector_materialized_tail,measured
m7_n7_k7_f32,tiled_vector_direct_k,tiled_vector_direct_cleanup,illegal
m7_n7_k7_f32,tiled_vector_direct_scalar,tiled_vector_direct_cleanup,lowering_incomplete
m7_n7_k7_f32,tiled_vector_specialized_tail,tiled_vector_specialized_tail,lowering_incomplete
m7_n7_k7_f32,tiled_vector_masked_transfer,tiled_vector_direct_cleanup,lowering_incomplete
m7_n7_k7_f32,unfused_vector,unfused_vector,lowering_incomplete
m8_n8_k1_f32,fused_scalar,scalar_baseline,measured
m8_n8_k1_f32,whole_shape_vector_no_padding,whole_shape_vector_no_padding,measured
m8_n8_k1_f32,whole_shape_vector_materialized_padding,whole_shape_vector_materialized_padding,measured
m8_n8_k1_f32,tiled_vector_full_tiles,tiled_vector_full_tiles,illegal
m8_n8_k1_f32,tiled_vector_materialized_tail,tiled_vector_materialized_tail,measured
m8_n8_k1_f32,tiled_vector_direct_k,tiled_vector_direct_cleanup,measured
m8_n8_k1_f32,tiled_vector_direct_scalar,tiled_vector_direct_cleanup,lowering_incomplete
m8_n8_k1_f32,tiled_vector_specialized_tail,tiled_vector_specialized_tail,lowering_incomplete
m8_n8_k1_f32,tiled_vector_masked_transfer,tiled_vector_direct_cleanup,lowering_incomplete
m8_n8_k1_f32,unfused_vector,unfused_vector,lowering_incomplete
m8_n8_k2_f32,fused_scalar,scalar_baseline,measured
m8_n8_k2_f32,whole_shape_vector_no_padding,whole_shape_vector_no_padding,measured
m8_n8_k2_f32,whole_shape_vector_materialized_padding,whole_shape_vector_materialized_padding,measured
m8_n8_k2_f32,tiled_vector_full_tiles,tiled_vector_full_tiles,illegal
m8_n8_k2_f32,tiled_vector_materialized_tail,tiled_vector_materialized_tail,measured
m8_n8_k2_f32,tiled_vector_direct_k,tiled_vector_direct_cleanup,measured
m8_n8_k2_f32,tiled_vector_direct_scalar,tiled_vector_direct_cleanup,lowering_incomplete
m8_n8_k2_f32,tiled_vector_specialized_tail,tiled_vector_specialized_tail,lowering_incomplete
m8_n8_k2_f32,tiled_vector_masked_transfer,tiled_vector_direct_cleanup,lowering_incomplete
m8_n8_k2_f32,unfused_vector,unfused_vector,lowering_incomplete
m8_n8_k3_f32,fused_scalar,scalar_baseline,measured
m8_n8_k3_f32,whole_shape_vector_no_padding,whole_shape_vector_no_padding,measured
m8_n8_k3_f32,whole_shape_vector_materialized_padding,whole_shape_vector_materialized_padding,measured
m8_n8_k3_f32,tiled_vector_full_tiles,tiled_vector_full_tiles,illegal
m8_n8_k3_f32,tiled_vector_materialized_tail,tiled_vector_materialized_tail,measured
m8_n8_k3_f32,tiled_vector_direct_k,tiled_vector_direct_cleanup,measured
m8_n8_k3_f32,tiled_vector_direct_scalar,tiled_vector_direct_cleanup,lowering_incomplete
m8_n8_k3_f32,tiled_vector_specialized_tail,tiled_vector_specialized_tail,lowering_incomplete
m8_n8_k3_f32,tiled_vector_masked_transfer,tiled_vector_direct_cleanup,lowering_incomplete
m8_n8_k3_f32,unfused_vector,unfused_vector,lowering_incomplete
m8_n8_k4_f32,fused_scalar,scalar_baseline,measured
m8_n8_k4_f32,whole_shape_vector_no_padding,whole_shape_vector_no_padding,measured
m8_n8_k4_f32,whole_shape_vector_materialized_padding,whole_shape_vector_materialized_padding,measured
m8_n8_k4_f32,tiled_vector_full_tiles,tiled_vector_full_tiles,illegal
m8_n8_k4_f32,tiled_vector_materialized_tail,tiled_vector_materialized_tail,measured
m8_n8_k4_f32,tiled_vector_direct_k,tiled_vector_direct_cleanup,measured
m8_n8_k4_f32,tiled_vector_direct_scalar,tiled_vector_direct_cleanup,lowering_incomplete
m8_n8_k4_f32,tiled_vector_specialized_tail,tiled_vector_specialized_tail,lowering_incomplete
m8_n8_k4_f32,tiled_vector_masked_transfer,tiled_vector_direct_cleanup,lowering_incomplete
m8_n8_k4_f32,unfused_vector,unfused_vector,lowering_incomplete
m8_n8_k5_f32,fused_scalar,scalar_baseline,measured
m8_n8_k5_f32,whole_shape_vector_no_padding,whole_shape_vector_no_padding,measured
m8_n8_k5_f32,whole_shape_vector_materialized_padding,whole_shape_vector_materialized_padding,measured
m8_n8_k5_f32,tiled_vector_full_tiles,tiled_vector_full_tiles,illegal
m8_n8_k5_f32,tiled_vector_materialized_tail,tiled_vector_materialized_tail,measured
m8_n8_k5_f32,tiled_vector_direct_k,tiled_vector_direct_cleanup,measured
m8_n8_k5_f32,tiled_vector_direct_scalar,tiled_vector_direct_cleanup,lowering_incomplete
m8_n8_k5_f32,tiled_vector_specialized_tail,tiled_vector_specialized_tail,lowering_incomplete
m8_n8_k5_f32,tiled_vector_masked_transfer,tiled_vector_direct_cleanup,lowering_incomplete
m8_n8_k5_f32,unfused_vector,unfused_vector,lowering_incomplete
m8_n8_k6_f32,fused_scalar,scalar_baseline,measured
m8_n8_k6_f32,whole_shape_vector_no_padding,whole_shape_vector_no_padding,measured
m8_n8_k6_f32,whole_shape_vector_materialized_padding,whole_shape_vector_materialized_padding,measured
m8_n8_k6_f32,tiled_vector_full_tiles,tiled_vector_full_tiles,illegal
m8_n8_k6_f32,tiled_vector_materialized_tail,tiled_vector_materialized_tail,measured
m8_n8_k6_f32,tiled_vector_direct_k,tiled_vector_direct_cleanup,measured
m8_n8_k6_f32,tiled_vector_direct_scalar,tiled_vector_direct_cleanup,lowering_incomplete
m8_n8_k6_f32,tiled_vector_specialized_tail,tiled_vector_specialized_tail,lowering_incomplete
m8_n8_k6_f32,tiled_vector_masked_transfer,tiled_vector_direct_cleanup,lowering_incomplete
m8_n8_k6_f32,unfused_vector,unfused_vector,lowering_incomplete
m8_n8_k7_f32,fused_scalar,scalar_baseline,measured
m8_n8_k7_f32,whole_shape_vector_no_padding,whole_shape_vector_no_padding,measured
m8_n8_k7_f32,whole_shape_vector_materialized_padding,whole_shape_vector_materialized_padding,measured
m8_n8_k7_f32,tiled_vector_full_tiles,tiled_vector_full_tiles,illegal
m8_n8_k7_f32,tiled_vector_materialized_tail,tiled_vector_materialized_tail,measured
m8_n8_k7_f32,tiled_vector_direct_k,tiled_vector_direct_cleanup,measured
m8_n8_k7_f32,tiled_vector_direct_scalar,tiled_vector_direct_cleanup,lowering_incomplete
m8_n8_k7_f32,tiled_vector_specialized_tail,tiled_vector_specialized_tail,lowering_incomplete
m8_n8_k7_f32,tiled_vector_masked_transfer,tiled_vector_direct_cleanup,lowering_incomplete
m8_n8_k7_f32,unfused_vector,unfused_vector,lowering_incomplete
m8_n8_k8_f32,fused_scalar,scalar_baseline,measured
m8_n8_k8_f32,whole_shape_vector_no_padding,whole_shape_vector_no_padding,measured
m8_n8_k8_f32,whole_shape_vector_materialized_padding,whole_shape_vector_materialized_padding,illegal
m8_n8_k8_f32,tiled_vector_full_tiles,tiled_vector_full_tiles,measured
m8_n8_k8_f32,tiled_vector_materialized_tail,tiled_vector_materialized_tail,illegal
m8_n8_k8_f32,tiled_vector_direct_k,tiled_vector_direct_cleanup,illegal
m8_n8_k8_f32,tiled_vector_direct_scalar,tiled_vector_direct_cleanup,lowering_incomplete
m8_n8_k8_f32,tiled_vector_specialized_tail,tiled_vector_specialized_tail,lowering_incomplete
m8_n8_k8_f32,tiled_vector_masked_transfer,tiled_vector_direct_cleanup,lowering_incomplete
m8_n8_k8_f32,unfused_vector,unfused_vector,lowering_incomplete
m8_n8_k9_f32,fused_scalar,scalar_baseline,measured
m8_n8_k9_f32,whole_shape_vector_no_padding,whole_shape_vector_no_padding,measured
m8_n8_k9_f32,whole_shape_vector_materialized_padding,whole_shape_vector_materialized_padding,measured
m8_n8_k9_f32,tiled_vector_full_tiles,tiled_vector_full_tiles,illegal
m8_n8_k9_f32,tiled_vector_materialized_tail,tiled_vector_materialized_tail,measured
m8_n8_k9_f32,tiled_vector_direct_k,tiled_vector_direct_cleanup,measured
m8_n8_k9_f32,tiled_vector_direct_scalar,tiled_vector_direct_cleanup,lowering_incomplete
m8_n8_k9_f32,tiled_vector_specialized_tail,tiled_vector_specialized_tail,lowering_incomplete
m8_n8_k9_f32,tiled_vector_masked_transfer,tiled_vector_direct_cleanup,lowering_incomplete
m8_n8_k9_f32,unfused_vector,unfused_vector,lowering_incomplete
m8_n8_k15_f32,fused_scalar,scalar_baseline,measured
